	Stillton4R2	Stillton4R3	Stillton4R1	HCanyon3R3	HCanyon3R2	HCanyon3R1	Halls9R2	HCanyon2R2	HCanyon2R3	HCanyon2R1	Halls9R1	Stillton10R3	HCanyon0R1	HCanyon0R2	HCanyon0R3	HCanyon7R3	HCanyon7R2	HCanyon7R1	HCanyon1R1	HCanyon1R3	HCanyon1R2	HCanyon10R2	HCanyon10R3	HCanyon10R1	HCanyon11R3	HCanyon11R2	HCanyon11R1	HCanyon6R2	HCanyon6R3	HCanyon6R1	HCanyon5R1	HCanyon5R3	HCanyon5R2	HCanyon4R1	HCanyon4R2	HCanyon4R3	HCanyon12R1	HCanyon12R2	HCanyon12R3	HCanyon8R1	HCanyon8R2	HCanyon8R3	Halls8R2	Stillton10R1	Stillton10R2	Halls8R1	Halls6R1	Halls6R2	Halls4R2	Stillton5R2	Halls4R1	Halls3R1	Halls3R2	Stillton1R2	Stillton1R1	Stillton2R1	Stillton2R2	Stillton2R3	Stillton3R1	Stillton3R3	Stillton3R2	Halls5R1	Halls2R1	Halls2R2	Stillton9R2	Halls1R2	Halls1R1	Halls0R2	Halls0R1	Stillton9R3	Stillton7R3	Stillton9R1	Stillton7R1	Halls10R1	Halls10R2	Stillton7R2	Halls7R1	Halls7R2	Stillton0R2	Stillton0R3	Stillton0R1	Stillton6R1	Stillton6R2	Stillton6R3	HCanyon9R1	HCanyon9R3	HCanyon9R2	CrustControlR1	CrustControlR2	CrustControlR3	Stillton8R3	Stillton11R1	Stillton8R1	Stillton11R3
Halls9R1	28.0	28.0	28.0	29.0	29.0	29.0	0.0	35.0	35.0	35.0	0.0	0.0	36.9	36.9	36.9	26.0	26.0	26.0	36.9	36.9	36.9	0.0	0.0	0.0	0.0	0.0	0.0	27.0	27.0	27.0	28.0	28.0	28.0	28.0	28.0	28.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	10.0	27.0	27.0	28.0	28.0	28.0	29.0	29.0	36.9	36.9	36.9	35.0	35.0	29.0	29.0	29.0	28.0	35.0	35.0	0.0	36.9	36.9	36.9	36.9	0.0	26.0	0.0	26.0	0.0	0.0	26.0	26.0	26.0	36.9	36.9	36.9	27.0	27.0	27.0	0.0	0.0	0.0	5.0	5.0	5.0	10.0	0.0	10.0	0.0
Stillton10R3	28.0	28.0	28.0	29.0	29.0	29.0	0.0	35.0	35.0	35.0	0.0	0.0	36.9	36.9	36.9	26.0	26.0	26.0	36.9	36.9	36.9	0.0	0.0	0.0	0.0	0.0	0.0	27.0	27.0	27.0	28.0	28.0	28.0	28.0	28.0	28.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	10.0	27.0	27.0	28.0	28.0	28.0	29.0	29.0	36.9	36.9	36.9	35.0	35.0	29.0	29.0	29.0	28.0	35.0	35.0	0.0	36.9	36.9	36.9	36.9	0.0	26.0	0.0	26.0	0.0	0.0	26.0	26.0	26.0	36.9	36.9	36.9	27.0	27.0	27.0	0.0	0.0	0.0	5.0	5.0	5.0	10.0	0.0	10.0	0.0
HCanyon0R1	8.9	8.9	8.9	7.9	7.9	7.9	36.9	1.9	1.9	1.9	36.9	36.9	0.0	0.0	0.0	10.9	10.9	10.9	0.0	0.0	0.0	36.9	36.9	36.9	36.9	36.9	36.9	9.9	9.9	9.9	8.9	8.9	8.9	8.9	8.9	8.9	36.9	36.9	36.9	26.9	26.9	26.9	26.9	36.9	36.9	26.9	9.9	9.9	8.9	8.9	8.9	7.9	7.9	0.0	0.0	0.0	1.9	1.9	7.9	7.9	7.9	8.9	1.9	1.9	36.9	0.0	0.0	0.0	0.0	36.9	10.9	36.9	10.9	36.9	36.9	10.9	10.9	10.9	0.0	0.0	0.0	9.9	9.9	9.9	36.9	36.9	36.9	41.9	41.9	41.9	26.9	36.9	26.9	36.9
HCanyon0R2	8.9	8.9	8.9	7.9	7.9	7.9	36.9	1.9	1.9	1.9	36.9	36.9	0.0	0.0	0.0	10.9	10.9	10.9	0.0	0.0	0.0	36.9	36.9	36.9	36.9	36.9	36.9	9.9	9.9	9.9	8.9	8.9	8.9	8.9	8.9	8.9	36.9	36.9	36.9	26.9	26.9	26.9	26.9	36.9	36.9	26.9	9.9	9.9	8.9	8.9	8.9	7.9	7.9	0.0	0.0	0.0	1.9	1.9	7.9	7.9	7.9	8.9	1.9	1.9	36.9	0.0	0.0	0.0	0.0	36.9	10.9	36.9	10.9	36.9	36.9	10.9	10.9	10.9	0.0	0.0	0.0	9.9	9.9	9.9	36.9	36.9	36.9	41.9	41.9	41.9	26.9	36.9	26.9	36.9
HCanyon0R3	8.9	8.9	8.9	7.9	7.9	7.9	36.9	1.9	1.9	1.9	36.9	36.9	0.0	0.0	0.0	10.9	10.9	10.9	0.0	0.0	0.0	36.9	36.9	36.9	36.9	36.9	36.9	9.9	9.9	9.9	8.9	8.9	8.9	8.9	8.9	8.9	36.9	36.9	36.9	26.9	26.9	26.9	26.9	36.9	36.9	26.9	9.9	9.9	8.9	8.9	8.9	7.9	7.9	0.0	0.0	0.0	1.9	1.9	7.9	7.9	7.9	8.9	1.9	1.9	36.9	0.0	0.0	0.0	0.0	36.9	10.9	36.9	10.9	36.9	36.9	10.9	10.9	10.9	0.0	0.0	0.0	9.9	9.9	9.9	36.9	36.9	36.9	41.9	41.9	41.9	26.9	36.9	26.9	36.9
HCanyon7R3	2.0	2.0	2.0	3.0	3.0	3.0	26.0	9.0	9.0	9.0	26.0	26.0	10.9	10.9	10.9	0.0	0.0	0.0	10.9	10.9	10.9	26.0	26.0	26.0	26.0	26.0	26.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	26.0	26.0	26.0	16.0	16.0	16.0	16.0	26.0	26.0	16.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0	10.9	10.9	10.9	9.0	9.0	3.0	3.0	3.0	2.0	9.0	9.0	26.0	10.9	10.9	10.9	10.9	26.0	0.0	26.0	0.0	26.0	26.0	0.0	0.0	0.0	10.9	10.9	10.9	1.0	1.0	1.0	26.0	26.0	26.0	31.0	31.0	31.0	16.0	26.0	16.0	26.0
HCanyon7R2	2.0	2.0	2.0	3.0	3.0	3.0	26.0	9.0	9.0	9.0	26.0	26.0	10.9	10.9	10.9	0.0	0.0	0.0	10.9	10.9	10.9	26.0	26.0	26.0	26.0	26.0	26.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	26.0	26.0	26.0	16.0	16.0	16.0	16.0	26.0	26.0	16.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0	10.9	10.9	10.9	9.0	9.0	3.0	3.0	3.0	2.0	9.0	9.0	26.0	10.9	10.9	10.9	10.9	26.0	0.0	26.0	0.0	26.0	26.0	0.0	0.0	0.0	10.9	10.9	10.9	1.0	1.0	1.0	26.0	26.0	26.0	31.0	31.0	31.0	16.0	26.0	16.0	26.0
HCanyon7R1	2.0	2.0	2.0	3.0	3.0	3.0	26.0	9.0	9.0	9.0	26.0	26.0	10.9	10.9	10.9	0.0	0.0	0.0	10.9	10.9	10.9	26.0	26.0	26.0	26.0	26.0	26.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	26.0	26.0	26.0	16.0	16.0	16.0	16.0	26.0	26.0	16.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0	10.9	10.9	10.9	9.0	9.0	3.0	3.0	3.0	2.0	9.0	9.0	26.0	10.9	10.9	10.9	10.9	26.0	0.0	26.0	0.0	26.0	26.0	0.0	0.0	0.0	10.9	10.9	10.9	1.0	1.0	1.0	26.0	26.0	26.0	31.0	31.0	31.0	16.0	26.0	16.0	26.0
HCanyon1R1	8.9	8.9	8.9	7.9	7.9	7.9	36.9	1.9	1.9	1.9	36.9	36.9	0.0	0.0	0.0	10.9	10.9	10.9	0.0	0.0	0.0	36.9	36.9	36.9	36.9	36.9	36.9	9.9	9.9	9.9	8.9	8.9	8.9	8.9	8.9	8.9	36.9	36.9	36.9	26.9	26.9	26.9	26.9	36.9	36.9	26.9	9.9	9.9	8.9	8.9	8.9	7.9	7.9	0.0	0.0	0.0	1.9	1.9	7.9	7.9	7.9	8.9	1.9	1.9	36.9	0.0	0.0	0.0	0.0	36.9	10.9	36.9	10.9	36.9	36.9	10.9	10.9	10.9	0.0	0.0	0.0	9.9	9.9	9.9	36.9	36.9	36.9	41.9	41.9	41.9	26.9	36.9	26.9	36.9
HCanyon1R3	8.9	8.9	8.9	7.9	7.9	7.9	36.9	1.9	1.9	1.9	36.9	36.9	0.0	0.0	0.0	10.9	10.9	10.9	0.0	0.0	0.0	36.9	36.9	36.9	36.9	36.9	36.9	9.9	9.9	9.9	8.9	8.9	8.9	8.9	8.9	8.9	36.9	36.9	36.9	26.9	26.9	26.9	26.9	36.9	36.9	26.9	9.9	9.9	8.9	8.9	8.9	7.9	7.9	0.0	0.0	0.0	1.9	1.9	7.9	7.9	7.9	8.9	1.9	1.9	36.9	0.0	0.0	0.0	0.0	36.9	10.9	36.9	10.9	36.9	36.9	10.9	10.9	10.9	0.0	0.0	0.0	9.9	9.9	9.9	36.9	36.9	36.9	41.9	41.9	41.9	26.9	36.9	26.9	36.9
HCanyon1R2	8.9	8.9	8.9	7.9	7.9	7.9	36.9	1.9	1.9	1.9	36.9	36.9	0.0	0.0	0.0	10.9	10.9	10.9	0.0	0.0	0.0	36.9	36.9	36.9	36.9	36.9	36.9	9.9	9.9	9.9	8.9	8.9	8.9	8.9	8.9	8.9	36.9	36.9	36.9	26.9	26.9	26.9	26.9	36.9	36.9	26.9	9.9	9.9	8.9	8.9	8.9	7.9	7.9	0.0	0.0	0.0	1.9	1.9	7.9	7.9	7.9	8.9	1.9	1.9	36.9	0.0	0.0	0.0	0.0	36.9	10.9	36.9	10.9	36.9	36.9	10.9	10.9	10.9	0.0	0.0	0.0	9.9	9.9	9.9	36.9	36.9	36.9	41.9	41.9	41.9	26.9	36.9	26.9	36.9
HCanyon10R2	28.0	28.0	28.0	29.0	29.0	29.0	0.0	35.0	35.0	35.0	0.0	0.0	36.9	36.9	36.9	26.0	26.0	26.0	36.9	36.9	36.9	0.0	0.0	0.0	0.0	0.0	0.0	27.0	27.0	27.0	28.0	28.0	28.0	28.0	28.0	28.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	10.0	27.0	27.0	28.0	28.0	28.0	29.0	29.0	36.9	36.9	36.9	35.0	35.0	29.0	29.0	29.0	28.0	35.0	35.0	0.0	36.9	36.9	36.9	36.9	0.0	26.0	0.0	26.0	0.0	0.0	26.0	26.0	26.0	36.9	36.9	36.9	27.0	27.0	27.0	0.0	0.0	0.0	5.0	5.0	5.0	10.0	0.0	10.0	0.0
HCanyon10R3	28.0	28.0	28.0	29.0	29.0	29.0	0.0	35.0	35.0	35.0	0.0	0.0	36.9	36.9	36.9	26.0	26.0	26.0	36.9	36.9	36.9	0.0	0.0	0.0	0.0	0.0	0.0	27.0	27.0	27.0	28.0	28.0	28.0	28.0	28.0	28.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	10.0	27.0	27.0	28.0	28.0	28.0	29.0	29.0	36.9	36.9	36.9	35.0	35.0	29.0	29.0	29.0	28.0	35.0	35.0	0.0	36.9	36.9	36.9	36.9	0.0	26.0	0.0	26.0	0.0	0.0	26.0	26.0	26.0	36.9	36.9	36.9	27.0	27.0	27.0	0.0	0.0	0.0	5.0	5.0	5.0	10.0	0.0	10.0	0.0
HCanyon10R1	28.0	28.0	28.0	29.0	29.0	29.0	0.0	35.0	35.0	35.0	0.0	0.0	36.9	36.9	36.9	26.0	26.0	26.0	36.9	36.9	36.9	0.0	0.0	0.0	0.0	0.0	0.0	27.0	27.0	27.0	28.0	28.0	28.0	28.0	28.0	28.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	10.0	27.0	27.0	28.0	28.0	28.0	29.0	29.0	36.9	36.9	36.9	35.0	35.0	29.0	29.0	29.0	28.0	35.0	35.0	0.0	36.9	36.9	36.9	36.9	0.0	26.0	0.0	26.0	0.0	0.0	26.0	26.0	26.0	36.9	36.9	36.9	27.0	27.0	27.0	0.0	0.0	0.0	5.0	5.0	5.0	10.0	0.0	10.0	0.0
HCanyon11R3	28.0	28.0	28.0	29.0	29.0	29.0	0.0	35.0	35.0	35.0	0.0	0.0	36.9	36.9	36.9	26.0	26.0	26.0	36.9	36.9	36.9	0.0	0.0	0.0	0.0	0.0	0.0	27.0	27.0	27.0	28.0	28.0	28.0	28.0	28.0	28.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	10.0	27.0	27.0	28.0	28.0	28.0	29.0	29.0	36.9	36.9	36.9	35.0	35.0	29.0	29.0	29.0	28.0	35.0	35.0	0.0	36.9	36.9	36.9	36.9	0.0	26.0	0.0	26.0	0.0	0.0	26.0	26.0	26.0	36.9	36.9	36.9	27.0	27.0	27.0	0.0	0.0	0.0	5.0	5.0	5.0	10.0	0.0	10.0	0.0
HCanyon11R2	28.0	28.0	28.0	29.0	29.0	29.0	0.0	35.0	35.0	35.0	0.0	0.0	36.9	36.9	36.9	26.0	26.0	26.0	36.9	36.9	36.9	0.0	0.0	0.0	0.0	0.0	0.0	27.0	27.0	27.0	28.0	28.0	28.0	28.0	28.0	28.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	10.0	27.0	27.0	28.0	28.0	28.0	29.0	29.0	36.9	36.9	36.9	35.0	35.0	29.0	29.0	29.0	28.0	35.0	35.0	0.0	36.9	36.9	36.9	36.9	0.0	26.0	0.0	26.0	0.0	0.0	26.0	26.0	26.0	36.9	36.9	36.9	27.0	27.0	27.0	0.0	0.0	0.0	5.0	5.0	5.0	10.0	0.0	10.0	0.0
HCanyon11R1	28.0	28.0	28.0	29.0	29.0	29.0	0.0	35.0	35.0	35.0	0.0	0.0	36.9	36.9	36.9	26.0	26.0	26.0	36.9	36.9	36.9	0.0	0.0	0.0	0.0	0.0	0.0	27.0	27.0	27.0	28.0	28.0	28.0	28.0	28.0	28.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	0.0	0.0	10.0	27.0	27.0	28.0	28.0	28.0	29.0	29.0	36.9	36.9	36.9	35.0	35.0	29.0	29.0	29.0	28.0	35.0	35.0	0.0	36.9	36.9	36.9	36.9	0.0	26.0	0.0	26.0	0.0	0.0	26.0	26.0	26.0	36.9	36.9	36.9	27.0	27.0	27.0	0.0	0.0	0.0	5.0	5.0	5.0	10.0	0.0	10.0	0.0
HCanyon6R2	1.0	1.0	1.0	2.0	2.0	2.0	27.0	8.0	8.0	8.0	27.0	27.0	9.9	9.9	9.9	1.0	1.0	1.0	9.9	9.9	9.9	27.0	27.0	27.0	27.0	27.0	27.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	27.0	27.0	27.0	17.0	17.0	17.0	17.0	27.0	27.0	17.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	9.9	9.9	9.9	8.0	8.0	2.0	2.0	2.0	1.0	8.0	8.0	27.0	9.9	9.9	9.9	9.9	27.0	1.0	27.0	1.0	27.0	27.0	1.0	1.0	1.0	9.9	9.9	9.9	0.0	0.0	0.0	27.0	27.0	27.0	32.0	32.0	32.0	17.0	27.0	17.0	27.0
HCanyon6R3	1.0	1.0	1.0	2.0	2.0	2.0	27.0	8.0	8.0	8.0	27.0	27.0	9.9	9.9	9.9	1.0	1.0	1.0	9.9	9.9	9.9	27.0	27.0	27.0	27.0	27.0	27.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	27.0	27.0	27.0	17.0	17.0	17.0	17.0	27.0	27.0	17.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	9.9	9.9	9.9	8.0	8.0	2.0	2.0	2.0	1.0	8.0	8.0	27.0	9.9	9.9	9.9	9.9	27.0	1.0	27.0	1.0	27.0	27.0	1.0	1.0	1.0	9.9	9.9	9.9	0.0	0.0	0.0	27.0	27.0	27.0	32.0	32.0	32.0	17.0	27.0	17.0	27.0
HCanyon6R1	1.0	1.0	1.0	2.0	2.0	2.0	27.0	8.0	8.0	8.0	27.0	27.0	9.9	9.9	9.9	1.0	1.0	1.0	9.9	9.9	9.9	27.0	27.0	27.0	27.0	27.0	27.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	27.0	27.0	27.0	17.0	17.0	17.0	17.0	27.0	27.0	17.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	9.9	9.9	9.9	8.0	8.0	2.0	2.0	2.0	1.0	8.0	8.0	27.0	9.9	9.9	9.9	9.9	27.0	1.0	27.0	1.0	27.0	27.0	1.0	1.0	1.0	9.9	9.9	9.9	0.0	0.0	0.0	27.0	27.0	27.0	32.0	32.0	32.0	17.0	27.0	17.0	27.0
HCanyon5R1	0.0	0.0	0.0	1.0	1.0	1.0	28.0	7.0	7.0	7.0	28.0	28.0	8.9	8.9	8.9	2.0	2.0	2.0	8.9	8.9	8.9	28.0	28.0	28.0	28.0	28.0	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	28.0	28.0	18.0	18.0	18.0	18.0	28.0	28.0	18.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	8.9	8.9	8.9	7.0	7.0	1.0	1.0	1.0	0.0	7.0	7.0	28.0	8.9	8.9	8.9	8.9	28.0	2.0	28.0	2.0	28.0	28.0	2.0	2.0	2.0	8.9	8.9	8.9	1.0	1.0	1.0	28.0	28.0	28.0	33.0	33.0	33.0	18.0	28.0	18.0	28.0
HCanyon5R3	0.0	0.0	0.0	1.0	1.0	1.0	28.0	7.0	7.0	7.0	28.0	28.0	8.9	8.9	8.9	2.0	2.0	2.0	8.9	8.9	8.9	28.0	28.0	28.0	28.0	28.0	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	28.0	28.0	18.0	18.0	18.0	18.0	28.0	28.0	18.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	8.9	8.9	8.9	7.0	7.0	1.0	1.0	1.0	0.0	7.0	7.0	28.0	8.9	8.9	8.9	8.9	28.0	2.0	28.0	2.0	28.0	28.0	2.0	2.0	2.0	8.9	8.9	8.9	1.0	1.0	1.0	28.0	28.0	28.0	33.0	33.0	33.0	18.0	28.0	18.0	28.0
